id,gender,masterCategory,subCategory,articleType,productDisplayName,price,sellers,quantity,filename,ratings,returned,sales
30462,Women,Apparel,Innerwear,Bra,Lovable Women All Day Long Black Bra,1425,GenosisX,234,30462.jpg,3,21,303525
25382,Men,Apparel,Innerwear,Innerwear Vests,Levis Men White Innerwear Vest,805,Bed Random,640,25382.jpg,2,10,507150
4140,Women,Footwear,Shoes,Casual Shoes,Skechers Women Green Shoe,967,XYZ,1326,4140.jpg,1,20,1262902
36795,Men,Accessories,Watches,Watches,Maxima Men Ssteele Silver Dial Watch,473,Blue Smoke,392,36795.jpg,1,18,176902
17072,Women,Accessories,Belts,Belts,Lino Perros Women Weaved  Grey Belt,1110,Sanguine Skincare,1002,17072.jpg,4,13,1097790
30650,Men,Apparel,Topwear,Tshirts,Nike Men Printed Black T-shirt,449,Blue Smoke,1100,30650.jpg,2,6,491206
32563,Women,Apparel,Bottomwear,Trousers,ONLY Women directoire blue Trousers,721,Sanguine Skincare,160,32563.jpg,4,7,110313
58980,Women,Personal Care,Fragrance,Deodorant,Colour me Women Flowers Deo,1268,Friend Random,222,58980.jpg,4,5,275156
15341,Women,Apparel,Bottomwear,Shorts,Nike Women Solid Pink Shorts,789,Guard Random,925,15341.jpg,5,20,714045
52486,Women,Apparel,Innerwear,Camisoles,Red Rose Maroon Camisole,1111,Sanguine Skincare,760,52486.jpg,2,6,837694
53554,Men,Apparel,Innerwear,Boxers,Probase Multicoloured Printed Boxers,858,Friend Random,273,53554.jpg,4,17,219648
23623,Girls,Apparel,Topwear,Tops,Doodle Kids Girls Pink I love Shopping Top,1251,Blue Smoke,384,23623.jpg,4,13,464121
17416,Men,Footwear,Shoes,Sports Shoes,Lotto Men Atlantica Black Sports Shoe,1128,Strat Security,403,17416.jpg,4,22,429768
30234,Men,Footwear,Flip Flops,Flip Flops,Numero Uno Men Black Flip Flops,1053,Bed Random,1214,30234.jpg,1,21,1256229
51031,Women,Apparel,Innerwear,Bra,Enamor White Bra,459,Blue Smoke,441,51031.jpg,5,11,197370
26163,Men,Apparel,Bottomwear,Trousers,John Miller Men Dark Grey Trousers,1151,Unique Trends,383,26163.jpg,1,17,421266
42426,Women,Apparel,Topwear,Kurtas,Aurelia Women Sea Green Kurta,1413,Ten Fold Security,717,42426.jpg,2,19,986274
32751,Men,Footwear,Shoes,Casual Shoes,FILA Men Liga II Black Shoes,1021,Sanguine Skincare,35,32751.jpg,5,16,19399
25520,Girls,Apparel,Topwear,Tops,Doodle Kids Girls City Chic White Top,492,Clear Prints,269,25520.jpg,5,2,131364
41859,Men,Footwear,Sandal,Sandals,Estd. 1977 Men Black Sandals,1003,Spicy Dinner,390,41859.jpg,5,19,372113
21180,Men,Footwear,Flip Flops,Flip Flops,ADIDAS Men Adi Cells Black Flip Flops,729,Transit Random,655,21180.jpg,4,13,468018
39943,Men,Footwear,Shoes,Casual Shoes,GAS Men Brown Count Casual Shoes,456,Clear Prints,924,39943.jpg,1,29,408120
20052,Women,Accessories,Mufflers,Mufflers,United Colors Of Benetton Women Yellow Muffler,413,Blue Smoke,415,20052.jpg,4,0,171395
47392,Women,Accessories,Bags,Handbags,Baggit Women Beige Bag,812,XYZ,1106,47392.jpg,4,18,883456
7167,Men,Apparel,Topwear,Shirts,Scullers Men Scul Purple White Shirt,919,Bed Random,165,7167.jpg,4,3,148878
46240,Women,Apparel,Topwear,Tunics,Fusion Beats Women White Printed Tunic,1038,Spicy Dinner,671,46240.jpg,5,12,684042
13042,Women,Footwear,Shoes,Flats,Inc 5 Women Brown Heels,741,Friend Random,836,13042.jpg,4,18,606138
43500,Men,Apparel,Topwear,Tshirts,French Connection Men White T-shirt,852,Guard Random,939,43500.jpg,4,2,798324
2627,Women,Footwear,Shoes,Flats,Carlton London Women Wedge Silver Sandal,907,Unique Trends,480,2627.jpg,1,23,414499
13270,Women,Apparel,Topwear,Tops,Palm Tree Kids Girls Printed White Tops,1330,Friend Random,99,13270.jpg,2,21,103740
18698,Men,Apparel,Innerwear,Briefs,Hanes Men Grey Ultimate Duo Dry Cotton Stretch Bikini Briefs,1016,Transit Random,470,18698.jpg,3,19,458216
26197,Men,Personal Care,Fragrance,Perfume and Body Mist,Formula 1 Go Men Perfume,479,Guard Random,96,26197.jpg,5,25,34009
31120,Girls,Apparel,Topwear,Tops,Palm Tree Girls Pink Top,370,Blue Smoke,590,31120.jpg,4,21,210530
14869,Men,Accessories,Wallets,Wallets,United Colors of Benetton Men Solid Black Wallets,1014,Sanguine Skincare,1379,14869.jpg,2,26,1371942
5402,Women,Footwear,Shoes,Sports Shoes,Kalenji Ekiden 200 Wn Purple 2011,1450,XYZ,177,5402.jpg,4,27,217500
44725,Women,Footwear,Flip Flops,Flip Flops,Lotto Women Coral Elegant Flip Flops,467,Ten Fold Security,163,44725.jpg,3,26,63979
14055,Men,Apparel,Topwear,Shirts,Flying Machine Men Check Green Shirts,685,Clear Prints,1310,14055.jpg,3,5,893925
28469,Women,Apparel,Topwear,Tshirts,Urban Yoga Women Printed Pink T-shirt,560,Clear Prints,119,28469.jpg,4,4,64400
2243,Men,Apparel,Topwear,Tshirts,ADIDAS Men Stripe Polo White Polo T-shirt,1105,Sanguine Skincare,583,2243.jpg,2,8,635375
30496,Women,Apparel,Innerwear,Bra,Lovable Women Fiona Purple Bra,531,Friend Random,221,30496.jpg,5,5,114696
44341,Men,Apparel,Topwear,Tshirts,Indian Terrain Men Blue T-shirt,1471,Bed Random,248,44341.jpg,1,23,330975
20604,Women,Accessories,Bags,Handbags,Baggit Women Umbrella Dum Brown Handbag,383,GenosisX,1221,20604.jpg,1,7,464962
36761,Men,Accessories,Watches,Watches,Maxima Men Black Watch,1134,Clear Prints,1323,36761.jpg,1,0,1500282
37481,Women,Accessories,Watches,Watches,Esprit Women White Dial Watch,1008,Strat Security,199,37481.jpg,2,1,199584
25978,Women,Personal Care,Fragrance,Perfume and Body Mist,J.Del Pozo Halloween Kiss Sexy Women Perfume,1080,Bed Random,835,25978.jpg,4,13,887760
4386,Men,Apparel,Topwear,Tshirts,Wrangler Cowboy Photo T-shirt,1213,Friend Random,359,4386.jpg,1,18,413633
51693,Unisex,Accessories,Eyewear,Sunglasses,Van Heusen Unisex Brown Sunglasses,1387,Spicy Dinner,345,51693.jpg,4,23,446614
29789,Men,Apparel,Topwear,Tshirts,Basics Men Pack of 3 T-shirt,730,Guard Random,339,29789.jpg,2,24,229950
55233,Women,Personal Care,Makeup,Foundation and Primer,Lakme Nine to Five Flawless Makeup Shell Foundation,886,Ten Fold Security,648,55233.jpg,3,25,551978
13426,Men,Apparel,Topwear,Tshirts,United Colors of Benetton Men Stripes Red  Polo T-shirts,843,Clear Prints,423,13426.jpg,4,17,342258
43356,Women,Footwear,Shoes,Sports Shoes,Reebok Women Charcoal Grey Fuel Techno Sports Shoes,956,GenosisX,1190,43356.jpg,3,21,1117564
13846,Men,Apparel,Topwear,Shirts,John Miller Men Stripes Blue Shirts,1030,Bed Random,1141,13846.jpg,4,23,1151540
12994,Boys,Footwear,Shoes,Sports Shoes,ADIDAS Kids Boys Duramo Synthetic Black Sports Shoes,1450,GenosisX,1251,12994.jpg,4,14,1793650
46278,Women,Apparel,Topwear,Tunics,109F Women Red & White Striped Tunic,666,Unique Trends,1256,46278.jpg,2,11,829170
18492,Men,Footwear,Flip Flops,Flip Flops,Puma Men Danny Blue Slipper,933,Strat Security,324,18492.jpg,4,17,286431
7963,Men,Apparel,Topwear,Tshirts,Puma Men's Large Logo Graphic White French T-shirt,1328,Bed Random,879,7963.jpg,3,5,1160672
5608,Men,Footwear,Sandal,Sandals,ADIDAS Men Kendall Black Navy Floater,869,Guard Random,1198,5608.jpg,3,17,1026289
53598,Men,Free Items,Free Gifts,Free Gifts,Q&Q Men Black Digital Watch,1122,Blue Smoke,548,53598.jpg,5,17,595782
39375,Women,Accessories,Watches,Watches,Helix Women Silver Dial Watch,323,Spicy Dinner,107,39375.jpg,2,18,28747
31924,Women,Accessories,Bags,Handbags,Fabindia Women Black Silk Handbag,1313,Transit Random,1164,31924.jpg,5,1,1527019
19772,Men,Footwear,Shoes,Casual Shoes,ADIDAS Men Vigor Blue Casual Shoes,669,Sanguine Skincare,772,19772.jpg,2,5,513123
44379,Men,Personal Care,Fragrance,Perfume and Body Mist,ADIDAS Men Intense Touch  Perfume,1322,Ten Fold Security,878,44379.jpg,4,16,1139564
51499,Women,Apparel,Bottomwear,Jeans,Denizen Women Blue Jeans,437,Blue Smoke,379,51499.jpg,3,29,152950
55039,Women,Personal Care,Lips,Lipstick,Lakme Absolute Matte Merlot Lipstick 45,1064,GenosisX,909,55039.jpg,5,29,936320
27419,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Jockey Women Black Lounge Pants,987,Ten Fold Security,891,27419.jpg,4,19,860664
19918,Unisex,Accessories,Bags,Backpacks,Wildcraft Unisex Black Backpack,846,Strat Security,745,19918.jpg,5,25,609120
22359,Men,Apparel,Topwear,Shirts,John Players Men Check Blue Shirt,629,XYZ,823,22359.jpg,3,26,501313
48786,Women,Accessories,Jewellery,Pendant,Lucera Women Silver Pendant,766,Transit Random,650,48786.jpg,1,7,492538
33019,Women,Apparel,Topwear,Kurtas,Mother Earth Women Printed Yellow Kurta,1088,Friend Random,392,33019.jpg,2,27,397120
39523,Unisex,Accessories,Bags,Trolley Bag,Peter England Unisex Black One Dayer Black Trolley Bag,801,Blue Smoke,1330,39523.jpg,5,30,1041300
11349,Men,Apparel,Bottomwear,Jeans,Lee Men Blue Chicago Fit Jeans,722,Clear Prints,978,11349.jpg,5,16,694564
58514,Women,Apparel,Topwear,Tops,Tonga Women Grey Top,930,Strat Security,37,58514.jpg,2,15,20460
35128,Women,Accessories,Jewellery,Bracelet,Allen Solly Woman Purple Bangle,506,Sanguine Skincare,891,35128.jpg,2,24,438702
47508,Men,Apparel,Innerwear,Briefs,Facit Men Black Brief,1425,Strat Security,153,47508.jpg,1,14,198075
43994,Women,Personal Care,Fragrance,Deodorant,Police Women Passion Deo,659,Sanguine Skincare,1074,43994.jpg,1,9,701835
17278,Men,Apparel,Topwear,Tshirts,U.S. Polo Assn. Men Printed  Steeple Grey Tshirt,893,Guard Random,1493,17278.jpg,1,23,1312710
49492,Men,Footwear,Shoes,Casual Shoes,Vans Men Maroon & Grey Era Shoes,1016,Strat Security,338,49492.jpg,2,2,341376
12538,Men,Apparel,Bottomwear,Track Pants,Puma Men Solid Blue Track Pants,550,Unique Trends,1105,12538.jpg,4,1,607200
17876,Men,Apparel,Innerwear,Innerwear Vests,Levis Men Comfort Style Grey Innerwear Vest,1483,GenosisX,404,17876.jpg,3,26,560574
1638,Unisex,Apparel,Bottomwear,Swimwear,Nabaiji Swimming Goggles Blue Black,613,Strat Security,75,1638.jpg,3,17,35554
25188,Women,Accessories,Bags,Handbags,Lino Perros Women Leatherite Brown Handbag,852,Clear Prints,1338,25188.jpg,4,18,1124640
53108,Women,Accessories,Jewellery,Earrings,Fabindia Silver Earrings,1434,Unique Trends,265,53108.jpg,3,26,342726
21528,Women,Accessories,Bags,Handbags,Kiara Women Sequins Copper Handbag,1097,Ten Fold Security,785,21528.jpg,5,13,846884
12960,Men,Footwear,Shoes,Sports Shoes,ADIDAS Men Sports White Sports Shoes,1149,Bed Random,652,12960.jpg,4,8,739956
29321,Men,Apparel,Topwear,Tshirts,ADIDAS Men Black Jersey,460,Blue Smoke,416,29321.jpg,5,7,188140
9031,Men,Footwear,Shoes,Casual Shoes,Buckaroo Men loma Tan Casual Shoes,728,Strat Security,78,9031.jpg,3,26,37856
26369,Women,Apparel,Topwear,Shirts,Arrow Woman Blue Shirt,713,Spicy Dinner,352,26369.jpg,5,20,236716
33489,Men,Apparel,Topwear,Shirts,Doodle Kids Boy Check Green Shirt,685,XYZ,509,33489.jpg,4,12,340445
14099,Women,Apparel,Topwear,Tops,Flying Machine Women Solid Pink Tops,525,Guard Random,174,14099.jpg,3,16,82950
51009,Women,Apparel,Innerwear,Bra,Enamor Rose Full Figure Bra FF07,1188,Spicy Dinner,1181,51009.jpg,3,28,1369764
26967,Women,Apparel,Topwear,Tops,Jealous 21 Women Check Navy Blue Top,560,Bed Random,441,26967.jpg,4,28,231280
3739,Men,Accessories,Headwear,Caps,ADIDAS Men Delhi Daredevil Blue Cap,347,Bed Random,1356,3739.jpg,2,4,469144
44948,Men,Footwear,Shoes,Sports Shoes,Puma Men Black Aquil II Sports Shoes,852,GenosisX,334,44948.jpg,5,14,272640
33026,Women,Apparel,Topwear,Kurtas,Mother Earth Women Pink Kurta,918,Guard Random,422,33026.jpg,2,23,366282
44174,Women,Personal Care,Fragrance,Fragrance Gift Set,Nike Fragrances Women Sensual Touch Perfume and Deo Set,1158,Spicy Dinner,774,44174.jpg,5,14,880080
4381,Men,Apparel,Topwear,Tshirts,Superman Men's Silhouette Light Blue T-shirt,586,Transit Random,141,4381.jpg,3,22,69734
46623,Unisex,Accessories,Bags,Backpacks,Nike Unisex Ultimatum Max Backpack,744,Ten Fold Security,1466,46623.jpg,2,10,1083264
19927,Men,Footwear,Sandal,Sandals,ADIDAS Men Receptor Grey Sandals,374,Transit Random,986,19927.jpg,2,21,360910
16153,Men,Footwear,Shoes,Formal Shoes,Enroute Men Leather Black Formal Shoes,1360,Spicy Dinner,1190,16153.jpg,5,4,1612960
34203,Men,Apparel,Bottomwear,Track Pants,Proline Men Charcoal Grey Track Pants,612,Bed Random,1488,34203.jpg,1,22,897192
27614,Men,Apparel,Bottomwear,Trousers,Scullers Men Beige Trousers,1288,Spicy Dinner,791,27614.jpg,2,16,998200
16361,Men,Apparel,Topwear,Shirts,Peter England Men Stripes Maroon Shirt,1216,Spicy Dinner,200,16361.jpg,5,6,235904
7736,Men,Accessories,Headwear,Caps,Puma Men Ferrari Lifestyle Red Cap,798,Blue Smoke,343,7736.jpg,1,24,254562
22968,Unisex,Accessories,Bags,Backpacks,U.S. Polo Assn. Unisex Casual Olive Backpack,901,Unique Trends,1394,22968.jpg,1,11,1246083
55006,Women,Personal Care,Lips,Lip Gloss,Lakme Sheer Satin Lip Gloss 51,865,XYZ,1192,55006.jpg,4,11,1021565
19329,Men,Footwear,Shoes,Casual Shoes,Puma Men Standpunkt Brown Casual Shoes,1417,Friend Random,872,19329.jpg,4,7,1225705
27426,Women,Apparel,Bottomwear,Shorts,Jockey Women Grey Melange Shorts,1335,Transit Random,389,27426.jpg,3,25,485940
25371,Men,Apparel,Innerwear,Innerwear Vests,Levis Men Maroon Innerwear Vest,883,Guard Random,378,25371.jpg,1,18,317880
34455,Women,Footwear,Shoes,Heels,Rocia Women Black Shoes,1262,Unique Trends,945,34455.jpg,4,2,1190066
6280,Men,Apparel,Topwear,Tshirts,UCB Men's Making Light Pink T-shirt,441,GenosisX,541,6280.jpg,4,7,235494
46075,Men,Accessories,Belts,Belts,Lino Perros Men Black Leather Belt,1008,Friend Random,467,46075.jpg,1,13,457632
27042,Women,Accessories,Bags,Clutches,Yelloe Black Animal Print Clutch,1103,Friend Random,230,27042.jpg,3,6,247072
41250,Men,Accessories,Belts,Belts,Arrow Men Black & Brown Reversible Belt,891,Unique Trends,847,41250.jpg,4,14,742203
40382,Women,Apparel,Topwear,Tops,Tokyo Talkies Women Pink Top,1393,XYZ,843,40382.jpg,2,19,1147832
57335,Women,Apparel,Innerwear,Bra,Amante White Bra BCSO01,1018,Guard Random,687,57335.jpg,2,19,680024
52647,Women,Accessories,Bags,Handbags,Mod'acc Women Black Handbag,589,GenosisX,909,52647.jpg,4,15,526566
20267,Women,Footwear,Shoes,Heels,Catwalk Women Casual Black Heels,949,Friend Random,486,20267.jpg,5,17,445081
5405,Men,Footwear,Shoes,Sports Shoes,Kalenji Ekiden Comfort Prime 2011,649,Bed Random,943,5405.jpg,2,16,601623
58973,Women,Personal Care,Fragrance,Perfume and Body Mist,Colour Me Women Pink Perfume,1408,XYZ,1483,58973.jpg,1,4,2082432
52475,Women,Apparel,Loungewear and Nightwear,Bath Robe,Red Rose White & Red Dot Print Bath Robe,501,Unique Trends,339,52475.jpg,2,28,155811
50322,Women,Apparel,Topwear,Kurtas,Aurelia Women Black Kurta,1042,Bed Random,889,50322.jpg,3,2,924254
13879,Men,Apparel,Topwear,Shirts,Scullers Men Check Red Shirts,446,Ten Fold Security,400,13879.jpg,5,7,175278
8914,Men,Footwear,Shoes,Sports Shoes,Puma Men Future Cat Remix SF White Sports Shoes,317,GenosisX,507,8914.jpg,3,28,151843
16537,Men,Accessories,Headwear,Caps,Probase Men Check Blue Cap,863,Clear Prints,468,16537.jpg,4,21,385761
27270,Women,Apparel,Topwear,Kurtas,Mother Earth Women Printed Maroon Kurta,1275,Bed Random,652,27270.jpg,1,25,799425
55650,Women,Footwear,Shoes,Heels,Catwalk Women Multi-coloured Heels,538,Blue Smoke,1269,55650.jpg,3,3,681108
54544,Men,Footwear,Shoes,Sports Shoes,F Sports Men Black Pace Sports Shoes,393,GenosisX,98,54544.jpg,2,3,37335
30001,Women,Accessories,Watches,Watches,Aspen Women White Dial Watch,387,Ten Fold Security,265,30001.jpg,1,15,96750
45604,Men,Footwear,Shoes,Formal Shoes,Arrow Men Brown Formal Shoes,1486,Clear Prints,1186,45604.jpg,2,22,1729704
59069,Women,Apparel,Innerwear,Bra,Peri Peri Women White Bra,728,Unique Trends,1495,59069.jpg,4,16,1076712
21173,Women,Apparel,Topwear,Shirts,s.Oliver Women Grey Shirt,814,Clear Prints,809,21173.jpg,5,2,656898
4711,Unisex,Accessories,Watches,Watches,ADIDAS Unisex Toronto Hand Black Watch,863,Unique Trends,1075,4711.jpg,2,28,903561
40978,Boys,Apparel,Topwear,Tshirts,Gini and Jony Boys United Red T-shirt,435,Ten Fold Security,1098,40978.jpg,1,23,467625
9832,Women,Apparel,Topwear,Tshirts,Little Miss Women Printed Rust T-shirt,754,GenosisX,353,9832.jpg,1,13,256360
34693,Girls,Apparel,Bottomwear,Shorts,Allen Solly Kids Girls Poplin Pink Shorts,872,Blue Smoke,1153,34693.jpg,2,10,996696
51204,Women,Apparel,Innerwear,Bra,Enamor Women Peach Bra,1002,Ten Fold Security,246,51204.jpg,2,4,242484
48329,Women,Accessories,Bags,Handbags,Pitaraa Women Purple Sling Bag,533,Guard Random,838,48329.jpg,2,0,446654
12163,Women,Apparel,Bottomwear,Leggings,Aurelia Women Solid Purple Leggings,846,Spicy Dinner,721,12163.jpg,5,19,593892
42613,Women,Accessories,Jewellery,Jewellery Set,Estelle Women Gold Earring & Pendant Set,1097,Bed Random,692,42613.jpg,1,15,742669
3534,Women,Apparel,Topwear,Tshirts,Myntra Women's I Want You Black T-shirt,822,Transit Random,188,3534.jpg,2,18,139740
10250,Women,Accessories,Bags,Handbags,Murcia Women Hahk Brown Handbags,608,Blue Smoke,327,10250.jpg,2,8,193952
40520,Men,Accessories,Watches,Watches,Titan Men Cream Dial Watch,720,GenosisX,112,40520.jpg,3,23,64080
11382,Women,Apparel,Topwear,Tshirts,United Colors Of Benetton Women Light Winter Grey T-Shirts,1075,Sanguine Skincare,1232,11382.jpg,1,7,1316875
37472,Men,Accessories,Watches,Watches,Esprit Men Grey Dial Watch,1396,GenosisX,327,37472.jpg,4,14,436948
35325,Women,Accessories,Jewellery,Earrings,Fabindia Women Anusuya Silver Earrings,1251,Unique Trends,375,35325.jpg,3,29,432846
51660,Men,Accessories,Watches,Watches,Fossil Men Black Dial Watch AM4384,1373,Clear Prints,42,51660.jpg,3,15,37071
23240,Women,Apparel,Topwear,Kurtas,Aneri Women Ashna Blue Kurta,334,Transit Random,569,23240.jpg,2,18,184034
6422,Unisex,Footwear,Shoes,Casual Shoes,Lotto Unisex Canvas Black Grey Shoe,1249,Guard Random,348,6422.jpg,1,25,403427
26732,Women,Personal Care,Fragrance,Deodorant,Reebok Women Reestyle Deo,481,Clear Prints,1136,26732.jpg,5,2,545454
3150,Men,Footwear,Shoes,Sports Shoes,Nike Men's Lunarswift Black Shoe,1261,Clear Prints,1193,3150.jpg,1,13,1487980
17849,Women,Apparel,Topwear,Tshirts,Flying Machine Women This & That Grey Tshirt,1393,GenosisX,1016,17849.jpg,2,5,1408323
42879,Women,Accessories,Bags,Clutches,French Connection Women Black Buffy Clutch,1376,Guard Random,718,42879.jpg,5,29,948064
47537,Women,Footwear,Shoes,Flats,Portia Women Brown Flats,532,Guard Random,729,47537.jpg,5,20,377188
17247,Men,Apparel,Topwear,Tshirts,U.S. Polo Assn. Men Stripes Blue Polo Tshirt,709,Strat Security,319,17247.jpg,2,8,220499
23072,Men,Apparel,Bottomwear,Trousers,Arrow Men Navy Blue Solid Trousers,938,Ten Fold Security,183,23072.jpg,3,7,165088
42045,Men,Footwear,Shoes,Casual Shoes,Nike Men Wardour Chukka Yellow Casual Shoes,1381,Strat Security,52,42045.jpg,3,2,69050
10062,Men,Apparel,Topwear,Tshirts,Puma Men Puma runhard tee Grey Tshirts,1420,Blue Smoke,230,10062.jpg,1,16,303880
32332,Men,Accessories,Watches,Watches,Q&Q Men Steel Digital Watch,1010,Clear Prints,417,32332.jpg,4,17,404000
5095,Men,Apparel,Topwear,Tshirts,Wrangler Men's Greensboro Raw Edge Blue T-shirt,734,Clear Prints,1342,5095.jpg,3,20,970348
4147,Women,Footwear,Shoes,Sports Shoes,Nike Women Glide White Grey Shoe,1275,Guard Random,1200,4147.jpg,1,1,1528725
45260,Men,Accessories,Watches,Watches,CASIO G-Shock Men Black Digital Watch DW-5600E-1VDF G001,1283,Transit Random,701,45260.jpg,5,9,887836
15510,Men,Footwear,Shoes,Casual Shoes,Rockport Men CV Toe HI Charcoal Casual Shoes,808,Guard Random,1294,15510.jpg,4,9,1038280
34038,Boys,Apparel,Topwear,Shirts,Gini and Jony Boys Check Red Shirt,1201,Spicy Dinner,847,34038.jpg,2,11,1004036
46418,Men,Accessories,Watches,Watches,Timex Men Olive Green Dial Watch DV10,424,Friend Random,252,46418.jpg,4,21,97944
25378,Men,Apparel,Innerwear,Innerwear Vests,Levis Men Beige Innerwear T-shirt,1403,Clear Prints,195,25378.jpg,2,11,258152
39727,Women,Apparel,Topwear,Shirts,Arrow Woman Blue Shirt,879,Strat Security,886,39727.jpg,4,18,762972
5854,Women,Accessories,Bags,Handbags,ADIDAS Women Pink Handbag,393,Unique Trends,1151,5854.jpg,3,27,441732
11971,Men,Footwear,Shoes,Sports Shoes,Fila Men Glow White Sports Shoes,1363,Unique Trends,1058,11971.jpg,3,13,1424335
17088,Women,Accessories,Wallets,Wallets,Lino Perros Women Flower LT.Brown Wallet,622,Bed Random,631,17088.jpg,4,3,390616
3991,Men,Apparel,Topwear,Tshirts,Mr.Men Men's Wave Rider White T-shirt,321,GenosisX,367,3991.jpg,3,17,112350
19112,Men,Apparel,Topwear,Tshirts,Campbell Men Pack of 3 Solid Tshirts,1333,GenosisX,529,19112.jpg,2,16,683829
16966,Men,Footwear,Shoes,Sports Shoes,Reebok Men Sprintfit Lite Black Sports Shoe,1260,Guard Random,741,16966.jpg,4,30,895860
59094,Women,Apparel,Innerwear,Bra,Peri Peri Women Black Bra,1027,GenosisX,444,59094.jpg,4,25,430313
13870,Men,Apparel,Topwear,Shirts,Scullers Men Stripes Beige Shirts,1221,Clear Prints,989,13870.jpg,4,8,1197801
7955,Men,Apparel,Topwear,Tshirts,Puma Men's Foundation Grey Polo T-shirt,903,Sanguine Skincare,840,7955.jpg,5,19,741363
22539,Women,Footwear,Shoes,Heels,Inc.5  Women Grey Flats,1139,Ten Fold Security,922,22539.jpg,2,22,1025100
2629,Women,Footwear,Shoes,Flats,Carlton London Women Four Strapped Black Sandal,1306,Unique Trends,1387,2629.jpg,1,2,1808810
38291,Men,Accessories,Wallets,Wallets,Reid & Taylor Men Black Wallet,746,Spicy Dinner,67,38291.jpg,1,22,33570
41259,Men,Accessories,Wallets,Wallets,Arrow Men Brown Leather Wallet,470,Guard Random,968,41259.jpg,5,18,446500
1890,Men,Apparel,Topwear,Tshirts,FIFA Mens Essentials Red T-shirt,711,XYZ,645,1890.jpg,4,1,457884
20894,Men,Footwear,Shoes,Casual Shoes,Basics Men Red Casual Shoes,1291,Ten Fold Security,1272,20894.jpg,4,27,1607295
