,id,gender,masterCategory,subCategory,articleType,productDisplayName,price,sellers,sold,filename,link
34,15341,Women,Apparel,Bottomwear,Shorts,Nike Women Solid Pink Shorts,789,Guard Random,925,15341.jpg,http://assets.myntassets.com/v1/images/style/properties/f105cf31753c2cbdf23e8722dc83a019_images.jpg
35,52486,Women,Apparel,Innerwear,Camisoles,Red Rose Maroon Camisole,1111,Sanguine Skincare,760,52486.jpg,http://assets.myntassets.com/v1/images/style/properties/Red-Rose-Maroon-Bra_c75c0ad76e53ba58736e6f8fd21d07b0_images.jpg
36,53554,Men,Apparel,Innerwear,Boxers,Probase Multicoloured Printed Boxers,858,Friend Random,273,53554.jpg,http://assets.myntassets.com/v1/images/style/properties/Probase-Men-Yellow-Boxers_80cada245724ee958e0c5721d51cfab7_images.jpg
37,23623,Girls,Apparel,Topwear,Tops,Doodle Kids Girls Pink I love Shopping Top,1251,Blue Smoke,384,23623.jpg,http://assets.myntassets.com/v1/images/style/properties/ef9685293a987f515492addd034006bf_images.jpg
38,17416,Men,Footwear,Shoes,Sports Shoes,Lotto Men Atlantica Black Sports Shoe,1128,Strat Security,403,17416.jpg,http://assets.myntassets.com/v1/images/style/properties/1279efc8b61fb461a804f0c1f82f276b_images.jpg
39,30234,Men,Footwear,Flip Flops,Flip Flops,Numero Uno Men Black Flip Flops,1053,Bed Random,1214,30234.jpg,http://assets.myntassets.com/v1/images/style/properties/7b99e89eac30c7d4d78d54c8cc67e35a_images.jpg
40,51031,Women,Apparel,Innerwear,Bra,Enamor White Bra,459,Blue Smoke,441,51031.jpg,http://assets.myntassets.com/v1/images/style/properties/493409fb23791fa2cb220289e92affd7_images.jpg
41,26163,Men,Apparel,Bottomwear,Trousers,John Miller Men Dark Grey Trousers,1151,Unique Trends,383,26163.jpg,http://assets.myntassets.com/v1/images/style/properties/987d4390421e951dafe4bfdaba57f5fd_images.jpg
42,42426,Women,Apparel,Topwear,Kurtas,Aurelia Women Sea Green Kurta,1413,Ten Fold Security,717,42426.jpg,http://assets.myntassets.com/v1/images/style/properties/2e25195b2eaba31b89a991f2e0dbd532_images.jpg
43,32751,Men,Footwear,Shoes,Casual Shoes,FILA Men Liga II Black Shoes,1021,Sanguine Skincare,35,32751.jpg,http://assets.myntassets.com/v1/images/style/properties/ea051d39d65bfdcba994e6cd49061bd7_images.jpg
44,25520,Girls,Apparel,Topwear,Tops,Doodle Kids Girls City Chic White Top,492,Clear Prints,269,25520.jpg,http://assets.myntassets.com/v1/images/style/properties/416f7bd57546242fd72a817de0d517e5_images.jpg
45,41859,Men,Footwear,Sandal,Sandals,Estd. 1977 Men Black Sandals,1003,Spicy Dinner,390,41859.jpg,http://assets.myntassets.com/v1/images/style/properties/2a07ce87fedfca8928f12f3ddf6b7632_images.jpg
46,21180,Men,Footwear,Flip Flops,Flip Flops,ADIDAS Men Adi Cells Black Flip Flops,729,Transit Random,655,21180.jpg,http://assets.myntassets.com/v1/images/style/properties/b057c9e8d5ccc63369807a12f67a39ac_images.jpg
47,39943,Men,Footwear,Shoes,Casual Shoes,GAS Men Brown Count Casual Shoes,456,Clear Prints,924,39943.jpg,http://assets.myntassets.com/v1/images/style/properties/f2d705addd04fcf5516aef873254441e_images.jpg
48,20052,Women,Accessories,Mufflers,Mufflers,United Colors Of Benetton Women Yellow Muffler,413,Blue Smoke,415,20052.jpg,http://assets.myntassets.com/v1/images/style/properties/70506325cf800559ba06b15300846ea8_images.jpg
49,47392,Women,Accessories,Bags,Handbags,Baggit Women Beige Bag,812,XYZ,1106,47392.jpg,http://assets.myntassets.com/v1/images/style/properties/1041605c3decc95ef96c970da17ad051_images.jpg
50,7167,Men,Apparel,Topwear,Shirts,Scullers Men Scul Purple White Shirt,919,Bed Random,165,7167.jpg,http://assets.myntassets.com/v1/images/style/properties/11dcaeada4fab2e575c449e922425c5d_images.jpg
51,46240,Women,Apparel,Topwear,Tunics,Fusion Beats Women White Printed Tunic,1038,Spicy Dinner,671,46240.jpg,http://assets.myntassets.com/v1/images/style/properties/3c92594cc9b62cba6a314a9ca9fd1e19_images.jpg
52,13042,Women,Footwear,Shoes,Flats,Inc 5 Women Brown Heels,741,Friend Random,836,13042.jpg,http://assets.myntassets.com/v1/images/style/properties/be1fc833328c2708141568e2476abe81_images.jpg
53,43500,Men,Apparel,Topwear,Tshirts,French Connection Men White T-shirt,852,Guard Random,939,43500.jpg,http://assets.myntassets.com/v1/images/style/properties/9dc3c008c07a5df5b46622ee5d8579de_images.jpg
54,2627,Women,Footwear,Shoes,Flats,Carlton London Women Wedge Silver Sandal,907,Unique Trends,480,2627.jpg,http://assets.myntassets.com/v1/images/style/properties/a2a3d03e64b5041ab052d5a6b10d282a_images.jpg
55,13270,Women,Apparel,Topwear,Tops,Palm Tree Kids Girls Printed White Tops,1330,Friend Random,99,13270.jpg,http://assets.myntassets.com/v1/images/style/properties/b590f001fb08f324b17ce869686b27dc_images.jpg
56,18698,Men,Apparel,Innerwear,Briefs,Hanes Men Grey Ultimate Duo Dry Cotton Stretch Bikini Briefs,1016,Transit Random,470,18698.jpg,http://assets.myntassets.com/v1/images/style/properties/Hanes-Men-Ultimate-Grey-Brief_0782bb329d30535e2a3bef5657940458_images.jpg
57,26197,Men,Personal Care,Fragrance,Perfume and Body Mist,Formula 1 Go Men Perfume,479,Guard Random,96,26197.jpg,http://assets.myntassets.com/v1/images/style/properties/ebe4131154706db0b3469237133343e2_images.jpg
58,31120,Girls,Apparel,Topwear,Tops,Palm Tree Girls Pink Top,370,Blue Smoke,590,31120.jpg,http://assets.myntassets.com/v1/images/style/properties/83f4ab34db71459ba1f80bb8992cf9d5_images.jpg
59,14869,Men,Accessories,Wallets,Wallets,United Colors of Benetton Men Solid Black Wallets,1014,Sanguine Skincare,1379,14869.jpg,http://assets.myntassets.com/v1/images/style/properties/09fca1f67e3f78b18f76473749d93e59_images.jpg
60,5402,Women,Footwear,Shoes,Sports Shoes,Kalenji Ekiden 200 Wn Purple 2011,1450,XYZ,177,5402.jpg,http://assets.myntassets.com/v1/images/style/properties/5dfa5ed32e290bbaeedd937ecdaa9a8b_images.jpg
61,44725,Women,Footwear,Flip Flops,Flip Flops,Lotto Women Coral Elegant Flip Flops,467,Ten Fold Security,163,44725.jpg,http://assets.myntassets.com/v1/images/style/properties/839c627c80dba9ac4412db3f35a52bb7_images.jpg
62,14055,Men,Apparel,Topwear,Shirts,Flying Machine Men Check Green Shirts,685,Clear Prints,1310,14055.jpg,http://assets.myntassets.com/v1/images/style/properties/6934c2d1bc11313536fd82a1192a1d33_images.jpg
63,28469,Women,Apparel,Topwear,Tshirts,Urban Yoga Women Printed Pink T-shirt,560,Clear Prints,119,28469.jpg,http://assets.myntassets.com/v1/images/style/properties/8e3ddd6772fdb8b69c328402aa2baa0c_images.jpg
64,2243,Men,Apparel,Topwear,Tshirts,ADIDAS Men Stripe Polo White Polo T-shirt,1105,Sanguine Skincare,583,2243.jpg,http://assets.myntassets.com/v1/images/style/properties/e1bba450764df5aed92151be769e42d0_images.jpg
65,30496,Women,Apparel,Innerwear,Bra,Lovable Women Fiona Purple Bra,531,Friend Random,221,30496.jpg,http://assets.myntassets.com/v1/images/style/properties/Lovable-Women-Fiona-Purple-Bra_82e37d2949af0a30ff61f6f7fc80cadc_images.jpg
66,44341,Men,Apparel,Topwear,Tshirts,Indian Terrain Men Blue T-shirt,1471,Bed Random,248,44341.jpg,http://assets.myntassets.com/v1/images/style/properties/f202fe30bd9441e163b7fbcfcb53e8c2_images.jpg
67,20604,Women,Accessories,Bags,Handbags,Baggit Women Umbrella Dum Brown Handbag,383,GenosisX,1221,20604.jpg,http://assets.myntassets.com/v1/images/style/properties/3c67058064553299e3cb62b79fedd1af_images.jpg
68,36761,Men,Accessories,Watches,Watches,Maxima Men Black Watch,1134,Clear Prints,1323,36761.jpg,http://assets.myntassets.com/v1/images/style/properties/c2f94914c3151fa88bc00b924c9bea22_images.jpg
69,37481,Women,Accessories,Watches,Watches,Esprit Women White Dial Watch,1008,Strat Security,199,37481.jpg,http://assets.myntassets.com/v1/images/style/properties/8fa9232495f9cad5e31338c61f615afb_images.jpg
70,25978,Women,Personal Care,Fragrance,Perfume and Body Mist,J.Del Pozo Halloween Kiss Sexy Women Perfume,1080,Bed Random,835,25978.jpg,http://assets.myntassets.com/v1/images/style/properties/4a0b8e5cd5f8b9fe8287301280ee204a_images.jpg
71,4386,Men,Apparel,Topwear,Tshirts,Wrangler Cowboy Photo T-shirt,1213,Friend Random,359,4386.jpg,http://assets.myntassets.com/v1/images/style/properties/dc7e36dcafbb8aeb71dc2ebbd4427ca7_images.jpg
72,51693,Unisex,Accessories,Eyewear,Sunglasses,Van Heusen Unisex Brown Sunglasses,1387,Spicy Dinner,345,51693.jpg,http://assets.myntassets.com/v1/images/style/properties/Van-Heusen-Unisex-Brown-Sunglasses_2099ffb4f8eb9fd28b80922f653aa42a_images.jpg
73,29789,Men,Apparel,Topwear,Tshirts,Basics Men Pack of 3 T-shirt,730,Guard Random,339,29789.jpg,http://assets.myntassets.com/v1/images/style/properties/b5fe34a5c5a88054357f33b0d2b4ce46_images.jpg
74,55233,Women,Personal Care,Makeup,Foundation and Primer,Lakme Nine to Five Flawless Makeup Shell Foundation,886,Ten Fold Security,648,55233.jpg,http://assets.myntassets.com/assets/images/55233/2018/5/3/11525323433330-Lakme-Nine-to-Five-Flawless-Makeup-Shell-Foundation-7251525323433284-1.jpg
75,13426,Men,Apparel,Topwear,Tshirts,United Colors of Benetton Men Stripes Red  Polo T-shirts,843,Clear Prints,423,13426.jpg,http://assets.myntassets.com/v1/images/style/properties/6723c5b48a019f7940ac913e35240620_images.jpg
76,43356,Women,Footwear,Shoes,Sports Shoes,Reebok Women Charcoal Grey Fuel Techno Sports Shoes,956,GenosisX,1190,43356.jpg,http://assets.myntassets.com/v1/images/style/properties/ec28a6e80636805d0bf993699b656c88_images.jpg
77,13846,Men,Apparel,Topwear,Shirts,John Miller Men Stripes Blue Shirts,1030,Bed Random,1141,13846.jpg,http://assets.myntassets.com/v1/images/style/properties/5f2cc2a725967d426cc03f4a3fbb93c1_images.jpg
78,12994,Boys,Footwear,Shoes,Sports Shoes,ADIDAS Kids Boys Duramo Synthetic Black Sports Shoes,1450,GenosisX,1251,12994.jpg,http://assets.myntassets.com/v1/images/style/properties/39873daedc5a92eef39894b612f5cbaf_images.jpg
79,46278,Women,Apparel,Topwear,Tunics,109F Women Red & White Striped Tunic,666,Unique Trends,1256,46278.jpg,http://assets.myntassets.com/v1/images/style/properties/279197619f868018854ce9bf9b812b87_images.jpg
80,18492,Men,Footwear,Flip Flops,Flip Flops,Puma Men Danny Blue Slipper,933,Strat Security,324,18492.jpg,http://assets.myntassets.com/v1/images/style/properties/b5df5f57f0feda7a42510b6ebedf4f4d_images.jpg
81,7963,Men,Apparel,Topwear,Tshirts,Puma Men's Large Logo Graphic White French T-shirt,1328,Bed Random,879,7963.jpg,http://assets.myntassets.com/v1/images/style/properties/7f50a98d2319c37ba993f4bd39ec1df9_images.jpg
82,5608,Men,Footwear,Sandal,Sandals,ADIDAS Men Kendall Black Navy Floater,869,Guard Random,1198,5608.jpg,http://assets.myntassets.com/v1/images/style/properties/f12bab8f2514a0656f81aa863dd966c3_images.jpg
83,53598,Men,Free Items,Free Gifts,Free Gifts,Q&Q Men Black Digital Watch,1122,Blue Smoke,548,53598.jpg,http://assets.myntassets.com/v1/images/style/properties/Q-Q-Men-Black-Digital-Watch_a3a296a8c104975d7c8017bc5dd49a52_images.jpg
84,39375,Women,Accessories,Watches,Watches,Helix Women Silver Dial Watch,323,Spicy Dinner,107,39375.jpg,http://assets.myntassets.com/v1/images/style/properties/Helix-Women-Silver-Dial-Watch_43fa66002d9a709539eb6ff7ed9384ce_images.jpg
85,31924,Women,Accessories,Bags,Handbags,Fabindia Women Black Silk Handbag,1313,Transit Random,1164,31924.jpg,http://assets.myntassets.com/v1/images/style/properties/f2be61ffbdcd20d97ef6aac78a1c3f58_images.jpg
86,19772,Men,Footwear,Shoes,Casual Shoes,ADIDAS Men Vigor Blue Casual Shoes,669,Sanguine Skincare,772,19772.jpg,http://assets.myntassets.com/v1/images/style/properties/4ce7d857814ce0fec13e120fe55522c9_images.jpg
87,44379,Men,Personal Care,Fragrance,Perfume and Body Mist,ADIDAS Men Intense Touch  Perfume,1322,Ten Fold Security,878,44379.jpg,http://assets.myntassets.com/v1/images/style/properties/Adidas-Men-Intense-Touch-100-ml-Perfume_97ab5eb6f4451e4af2913edbfde91f54_images.jpg
88,51499,Women,Apparel,Bottomwear,Jeans,Denizen Women Blue Jeans,437,Blue Smoke,379,51499.jpg,http://assets.myntassets.com/v1/images/style/properties/689197cf54631e679c2db7ec742a6e09_images.jpg
89,55039,Women,Personal Care,Lips,Lipstick,Lakme Absolute Matte Merlot Lipstick 45,1064,GenosisX,909,55039.jpg,http://assets.myntassets.com/v1/images/style/properties/Lakme-Absolute-Matte-Merlot-Lipstick-45_bc13569d8288f127c70c917c9c75bb24_images.jpg
90,27419,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Jockey Women Black Lounge Pants,987,Ten Fold Security,891,27419.jpg,http://assets.myntassets.com/v1/images/style/properties/2ebe09ca473dc308c580e25f41fdd66f_images.jpg
91,19918,Unisex,Accessories,Bags,Backpacks,Wildcraft Unisex Black Backpack,846,Strat Security,745,19918.jpg,http://assets.myntassets.com/v1/images/style/properties/567c1373b2efe229d5da57fb9e3eef34_images.jpg
92,22359,Men,Apparel,Topwear,Shirts,John Players Men Check Blue Shirt,629,XYZ,823,22359.jpg,http://assets.myntassets.com/v1/images/style/properties/d839e1d71382ca6708416dbf6bfa9054_images.jpg
93,48786,Women,Accessories,Jewellery,Pendant,Lucera Women Silver Pendant,766,Transit Random,650,48786.jpg,http://assets.myntassets.com/v1/images/style/properties/0454e503672f5f615a92e6c2a424bec6_images.jpg
94,33019,Women,Apparel,Topwear,Kurtas,Mother Earth Women Printed Yellow Kurta,1088,Friend Random,392,33019.jpg,http://assets.myntassets.com/v1/images/style/properties/8025d48579dca906daf4b3a72407715b_images.jpg
95,39523,Unisex,Accessories,Bags,Trolley Bag,Peter England Unisex Black One Dayer Black Trolley Bag,801,Blue Smoke,1330,39523.jpg,http://assets.myntassets.com/v1/images/style/properties/2bbf55264e3e2ae8ed8763435341fb9e_images.jpg
96,11349,Men,Apparel,Bottomwear,Jeans,Lee Men Blue Chicago Fit Jeans,722,Clear Prints,978,11349.jpg,http://assets.myntassets.com/v1/images/style/properties/cd76a36fca88fe74d1d25ee7fd96881a_images.jpg
97,58514,Women,Apparel,Topwear,Tops,Tonga Women Grey Top,930,Strat Security,37,58514.jpg,http://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Grey-Top_f73ea340974e7cc7cb4db18f7889cec7_images.jpg
98,35128,Women,Accessories,Jewellery,Bracelet,Allen Solly Woman Purple Bangle,506,Sanguine Skincare,891,35128.jpg,http://assets.myntassets.com/v1/images/style/properties/dc28614f846de2d3dd6d2935f88c4a01_images.jpg
99,47508,Men,Apparel,Innerwear,Briefs,Facit Men Black Brief,1425,Strat Security,153,47508.jpg,http://assets.myntassets.com/v1/images/style/properties/ff75150c15d512495e88a438db10884d_images.jpg
100,43994,Women,Personal Care,Fragrance,Deodorant,Police Women Passion Deo,659,Sanguine Skincare,1074,43994.jpg,http://assets.myntassets.com/v1/images/style/properties/5c7d3d8c3d1d6cc0f1cdbe550220bc73_images.jpg
101,17278,Men,Apparel,Topwear,Tshirts,U.S. Polo Assn. Men Printed  Steeple Grey Tshirt,893,Guard Random,1493,17278.jpg,http://assets.myntassets.com/v1/images/style/properties/b6ce9035b4f54b8733940f2f10e2e0d4_images.jpg
102,49492,Men,Footwear,Shoes,Casual Shoes,Vans Men Maroon & Grey Era Shoes,1016,Strat Security,338,49492.jpg,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Maroon---Grey-Era-Shoes_f95fd18a6cf5c1deede9c2a3304cfd2c_images.jpg
103,12538,Men,Apparel,Bottomwear,Track Pants,Puma Men Solid Blue Track Pants,550,Unique Trends,1105,12538.jpg,http://assets.myntassets.com/v1/images/style/properties/eb3a69a17b6a64c1ad62a00796b91824_images.jpg
104,17876,Men,Apparel,Innerwear,Innerwear Vests,Levis Men Comfort Style Grey Innerwear Vest,1483,GenosisX,404,17876.jpg,http://assets.myntassets.com/v1/images/style/properties/6ad5930365254d23fcfd8aaabe39d7fd_images.jpg
105,1638,Unisex,Apparel,Bottomwear,Swimwear,Nabaiji Swimming Goggles Blue Black,613,Strat Security,75,1638.jpg,http://assets.myntassets.com/v1/images/style/properties/332172e96e45f1a6d5ba979215736176_images.jpg
106,25188,Women,Accessories,Bags,Handbags,Lino Perros Women Leatherite Brown Handbag,852,Clear Prints,1338,25188.jpg,http://assets.myntassets.com/v1/images/style/properties/dabc32d2b3e99f80ef908374f84d161c_images.jpg
107,53108,Women,Accessories,Jewellery,Earrings,Fabindia Silver Earrings,1434,Unique Trends,265,53108.jpg,http://assets.myntassets.com/v1/images/style/properties/Fabindia-Silver-Earrings_35496103f164781c2264c2467b46a846_images.jpg
108,21528,Women,Accessories,Bags,Handbags,Kiara Women Sequins Copper Handbag,1097,Ten Fold Security,785,21528.jpg,http://assets.myntassets.com/v1/images/style/properties/348a1c79e91c3c74047eecd5dd374957_images.jpg
109,12960,Men,Footwear,Shoes,Sports Shoes,ADIDAS Men Sports White Sports Shoes,1149,Bed Random,652,12960.jpg,http://assets.myntassets.com/v1/images/style/properties/81780f9a8eebc7fb3d57ffffa7f455ae_images.jpg
110,29321,Men,Apparel,Topwear,Tshirts,ADIDAS Men Black Jersey,460,Blue Smoke,416,29321.jpg,http://assets.myntassets.com/v1/images/style/properties/08ba360a042300fffa932e37235edd6d_images.jpg
111,9031,Men,Footwear,Shoes,Casual Shoes,Buckaroo Men loma Tan Casual Shoes,728,Strat Security,78,9031.jpg,http://assets.myntassets.com/v1/images/style/properties/c42e34c84003a87f8fc0d5694e82d4c3_images.jpg
112,26369,Women,Apparel,Topwear,Shirts,Arrow Woman Blue Shirt,713,Spicy Dinner,352,26369.jpg,http://assets.myntassets.com/v1/images/style/properties/2b2bb303e1b844960d62d84888b226e0_images.jpg
113,33489,Men,Apparel,Topwear,Shirts,Doodle Kids Boy Check Green Shirt,685,XYZ,509,33489.jpg,http://assets.myntassets.com/v1/images/style/properties/47d964476bfd4b4c30627d74c4f6a94d_images.jpg
114,14099,Women,Apparel,Topwear,Tops,Flying Machine Women Solid Pink Tops,525,Guard Random,174,14099.jpg,http://assets.myntassets.com/v1/images/style/properties/1c2d217895f9a1bf02a20b09084491da_images.jpg
115,51009,Women,Apparel,Innerwear,Bra,Enamor Rose Full Figure Bra FF07,1188,Spicy Dinner,1181,51009.jpg,http://assets.myntassets.com/v1/images/style/properties/Enamor-Rose-Full-Figure-Bra_d04d8cdbc6cef8399424eb4aa236a47b_images.jpg
116,26967,Women,Apparel,Topwear,Tops,Jealous 21 Women Check Navy Blue Top,560,Bed Random,441,26967.jpg,http://assets.myntassets.com/v1/images/style/properties/85d720a91f528535d65276aabff0ee69_images.jpg
117,3739,Men,Accessories,Headwear,Caps,ADIDAS Men Delhi Daredevil Blue Cap,347,Bed Random,1356,3739.jpg,http://assets.myntassets.com/v1/images/style/properties/0c4bbbabc7387cf6190f60f42d28782c_images.jpg
118,44948,Men,Footwear,Shoes,Sports Shoes,Puma Men Black Aquil II Sports Shoes,852,GenosisX,334,44948.jpg,http://assets.myntassets.com/v1/images/style/properties/39cef2982137215d71ed41a558159659_images.jpg
